type	latitude	longitude	altitude (m)	name
T	-33.088309000	-71.655849000	262.3	valpo
T	-33.088309000	-71.655225879	266.0	
T	-33.088309000	-71.654602758	272.6	
T	-33.088309000	-71.653979636	281.0	
T	-33.088309000	-71.653356515	289.9	
T	-33.088309000	-71.652733394	290.4	
T	-33.088309000	-71.652110273	287.2	
T	-33.088309000	-71.651487152	280.7	
T	-33.088309000	-71.650864030	270.9	
T	-33.088309000	-71.650240909	261.3	
T	-33.088309000	-71.649617788	262.8	
T	-33.088309000	-71.648994667	270.8	
T	-33.088309000	-71.648371545	277.2	
T	-33.088309000	-71.647748424	284.7	
T	-33.088309000	-71.647125303	294.6	
T	-33.088309000	-71.646502182	303.7	
T	-33.088309000	-71.645879061	306.7	
T	-33.088309000	-71.645255939	310.5	
T	-33.088309000	-71.644632818	318.8	
T	-33.088309000	-71.644009697	330.9	
T	-33.088309000	-71.643386576	344.9	
T	-33.088309000	-71.642763454	356.9	
T	-33.088309000	-71.642140333	364.4	
T	-33.088309000	-71.641517212	367.7	
T	-33.088309000	-71.640894091	367.1	
T	-33.088309000	-71.640270970	368.5	
T	-33.088309000	-71.639647849	367.1	
T	-33.088309000	-71.639024727	364.0	
T	-33.088309000	-71.638401606	362.4	
T	-33.088309000	-71.637778485	368.8	
T	-33.088309000	-71.637155364	376.2	
T	-33.088309000	-71.636532242	380.1	
T	-33.088309000	-71.635909121	371.4	
T	-33.088309000	-71.635286000	362.4	
T	-33.088309000	-71.634662879	368.3	
T	-33.088309000	-71.634039758	386.1	
T	-33.088309000	-71.633416636	401.8	
T	-33.088309000	-71.632793515	413.6	
T	-33.088309000	-71.632170394	420.2	
T	-33.088309000	-71.631547273	421.3	
T	-33.088309000	-71.630924151	416.2	
T	-33.088309000	-71.630301030	422.3	
T	-33.088309000	-71.629677909	428.5	
T	-33.088309000	-71.629054788	433.0	
T	-33.088309000	-71.628431667	436.8	
T	-33.088309000	-71.627808546	440.5	
T	-33.088309000	-71.627185424	439.7	
T	-33.088309000	-71.626562303	433.2	
T	-33.088309000	-71.625939182	419.8	
T	-33.088309000	-71.625316061	415.6	
T	-33.088309000	-71.624692939	414.1	
T	-33.088309000	-71.624069818	412.1	
T	-33.088309000	-71.623446697	402.6	
T	-33.088309000	-71.622823576	407.6	
T	-33.088309000	-71.622200455	421.5	
T	-33.088309000	-71.621577333	439.5	
T	-33.088309000	-71.620954212	445.9	
T	-33.088309000	-71.620331091	448.0	
T	-33.088309000	-71.619707970	451.9	
T	-33.088309000	-71.619084848	460.2	
T	-33.088309000	-71.618461727	475.4	
T	-33.088309000	-71.617838606	483.3	
T	-33.088309000	-71.617215485	487.0	
T	-33.088309000	-71.616592364	488.2	
T	-33.088309000	-71.615969242	491.3	
T	-33.088309000	-71.615346121	496.6	
T	-33.088309000	-71.614723000	500.3	
T	-33.088309000	-71.614099879	500.9	
T	-33.088309000	-71.613476758	498.7	
T	-33.088309000	-71.612853636	497.6	
T	-33.088309000	-71.612230515	496.8	
T	-33.088309000	-71.611607394	495.6	
T	-33.088309000	-71.610984273	491.2	
T	-33.088309000	-71.610361152	490.6	
T	-33.088309000	-71.609738030	489.8	
T	-33.088309000	-71.609114909	486.6	
T	-33.088309000	-71.608491788	480.6	
T	-33.088309000	-71.607868667	470.6	
T	-33.088309000	-71.607245546	461.8	
T	-33.088309000	-71.606622424	456.5	
T	-33.088309000	-71.605999303	451.1	
T	-33.088309000	-71.605376182	448.5	
T	-33.088309000	-71.604753061	445.9	
T	-33.088309000	-71.604129939	441.6	
T	-33.088309000	-71.603506818	436.4	
T	-33.088309000	-71.602883697	435.4	
T	-33.088309000	-71.602260576	432.7	
T	-33.088309000	-71.601637454	424.1	
T	-33.088309000	-71.601014333	402.5	
T	-33.088309000	-71.600391212	399.6	
T	-33.088309000	-71.599768091	407.9	
T	-33.088309000	-71.599144970	421.9	
T	-33.088309000	-71.598521848	430.2	
T	-33.088309000	-71.597898727	429.1	
T	-33.088309000	-71.597275606	422.9	
T	-33.088309000	-71.596652485	415.0	
T	-33.088309000	-71.596029364	418.6	
T	-33.088309000	-71.595406242	423.4	
T	-33.088309000	-71.594783121	426.1	
T	-33.088309000	-71.594160000	423.8	
T	-33.088847586	-71.655849000	253.3	
T	-33.088847586	-71.655225879	254.3	
T	-33.088847586	-71.654602758	260.8	
T	-33.088847586	-71.653979636	269.9	
T	-33.088847586	-71.653356515	278.0	
T	-33.088847586	-71.652733394	276.1	
T	-33.088847586	-71.652110273	273.4	
T	-33.088847586	-71.651487152	269.5	
T	-33.088847586	-71.650864030	263.5	
T	-33.088847586	-71.650240909	260.1	
T	-33.088847586	-71.649617788	269.4	
T	-33.088847586	-71.648994667	285.0	
T	-33.088847586	-71.648371545	295.8	
T	-33.088847586	-71.647748424	301.4	
T	-33.088847586	-71.647125303	310.7	
T	-33.088847586	-71.646502182	320.3	
T	-33.088847586	-71.645879061	322.9	
T	-33.088847586	-71.645255939	322.2	
T	-33.088847586	-71.644632818	324.4	
T	-33.088847586	-71.644009697	329.8	
T	-33.088847586	-71.643386576	338.5	
T	-33.088847586	-71.642763454	351.4	
T	-33.088847586	-71.642140333	360.2	
T	-33.088847586	-71.641517212	364.3	
T	-33.088847586	-71.640894091	364.5	
T	-33.088847586	-71.640270970	361.7	
T	-33.088847586	-71.639647849	357.2	
T	-33.088847586	-71.639024727	353.5	
T	-33.088847586	-71.638401606	356.2	
T	-33.088847586	-71.637778485	364.7	
T	-33.088847586	-71.637155364	372.0	
T	-33.088847586	-71.636532242	373.8	
T	-33.088847586	-71.635909121	361.6	
T	-33.088847586	-71.635286000	355.9	
T	-33.088847586	-71.634662879	363.5	
T	-33.088847586	-71.634039758	381.9	
T	-33.088847586	-71.633416636	400.9	
T	-33.088847586	-71.632793515	409.9	
T	-33.088847586	-71.632170394	412.2	
T	-33.088847586	-71.631547273	409.8	
T	-33.088847586	-71.630924151	407.3	
T	-33.088847586	-71.630301030	413.6	
T	-33.088847586	-71.629677909	421.8	
T	-33.088847586	-71.629054788	429.9	
T	-33.088847586	-71.628431667	435.5	
T	-33.088847586	-71.627808546	436.4	
T	-33.088847586	-71.627185424	431.0	
T	-33.088847586	-71.626562303	419.6	
T	-33.088847586	-71.625939182	404.7	
T	-33.088847586	-71.625316061	399.6	
T	-33.088847586	-71.624692939	397.8	
T	-33.088847586	-71.624069818	397.9	
T	-33.088847586	-71.623446697	400.2	
T	-33.088847586	-71.622823576	412.1	
T	-33.088847586	-71.622200455	425.1	
T	-33.088847586	-71.621577333	435.7	
T	-33.088847586	-71.620954212	438.4	
T	-33.088847586	-71.620331091	444.4	
T	-33.088847586	-71.619707970	454.5	
T	-33.088847586	-71.619084848	467.9	
T	-33.088847586	-71.618461727	477.1	
T	-33.088847586	-71.617838606	483.0	
T	-33.088847586	-71.617215485	485.9	
T	-33.088847586	-71.616592364	486.4	
T	-33.088847586	-71.615969242	489.0	
T	-33.088847586	-71.615346121	492.4	
T	-33.088847586	-71.614723000	493.1	
T	-33.088847586	-71.614099879	490.6	
T	-33.088847586	-71.613476758	491.6	
T	-33.088847586	-71.612853636	493.4	
T	-33.088847586	-71.612230515	494.0	
T	-33.088847586	-71.611607394	492.4	
T	-33.088847586	-71.610984273	487.5	
T	-33.088847586	-71.610361152	486.9	
T	-33.088847586	-71.609738030	487.2	
T	-33.088847586	-71.609114909	486.6	
T	-33.088847586	-71.608491788	481.5	
T	-33.088847586	-71.607868667	473.2	
T	-33.088847586	-71.607245546	465.9	
T	-33.088847586	-71.606622424	461.6	
T	-33.088847586	-71.605999303	457.3	
T	-33.088847586	-71.605376182	453.0	
T	-33.088847586	-71.604753061	448.9	
T	-33.088847586	-71.604129939	444.8	
T	-33.088847586	-71.603506818	440.5	
T	-33.088847586	-71.602883697	436.2	
T	-33.088847586	-71.602260576	428.6	
T	-33.088847586	-71.601637454	415.7	
T	-33.088847586	-71.601014333	401.9	
T	-33.088847586	-71.600391212	404.5	
T	-33.088847586	-71.599768091	415.7	
T	-33.088847586	-71.599144970	429.6	
T	-33.088847586	-71.598521848	434.6	
T	-33.088847586	-71.597898727	432.1	
T	-33.088847586	-71.597275606	426.2	
T	-33.088847586	-71.596652485	420.0	
T	-33.088847586	-71.596029364	422.8	
T	-33.088847586	-71.595406242	426.0	
T	-33.088847586	-71.594783121	426.6	
T	-33.088847586	-71.594160000	422.0	
T	-33.089386172	-71.655849000	242.9	
T	-33.089386172	-71.655225879	243.6	
T	-33.089386172	-71.654602758	249.0	
T	-33.089386172	-71.653979636	256.7	
T	-33.089386172	-71.653356515	263.4	
T	-33.089386172	-71.652733394	261.0	
T	-33.089386172	-71.652110273	259.7	
T	-33.089386172	-71.651487152	259.5	
T	-33.089386172	-71.650864030	259.3	
T	-33.089386172	-71.650240909	262.8	
T	-33.089386172	-71.649617788	277.2	
T	-33.089386172	-71.648994667	296.7	
T	-33.089386172	-71.648371545	311.3	
T	-33.089386172	-71.647748424	316.6	
T	-33.089386172	-71.647125303	325.6	
T	-33.089386172	-71.646502182	335.1	
T	-33.089386172	-71.645879061	338.5	
T	-33.089386172	-71.645255939	335.5	
T	-33.089386172	-71.644632818	334.2	
T	-33.089386172	-71.644009697	335.4	
T	-33.089386172	-71.643386576	339.9	
T	-33.089386172	-71.642763454	350.7	
T	-33.089386172	-71.642140333	358.6	
T	-33.089386172	-71.641517212	362.4	
T	-33.089386172	-71.640894091	362.0	
T	-33.089386172	-71.640270970	355.5	
T	-33.089386172	-71.639647849	349.9	
T	-33.089386172	-71.639024727	347.7	
T	-33.089386172	-71.638401606	353.0	
T	-33.089386172	-71.637778485	361.4	
T	-33.089386172	-71.637155364	366.7	
T	-33.089386172	-71.636532242	365.7	
T	-33.089386172	-71.635909121	352.4	
T	-33.089386172	-71.635286000	352.0	
T	-33.089386172	-71.634662879	362.9	
T	-33.089386172	-71.634039758	381.6	
T	-33.089386172	-71.633416636	398.4	
T	-33.089386172	-71.632793515	402.3	
T	-33.089386172	-71.632170394	401.0	
T	-33.089386172	-71.631547273	397.9	
T	-33.089386172	-71.630924151	399.0	
T	-33.089386172	-71.630301030	407.0	
T	-33.089386172	-71.629677909	416.7	
T	-33.089386172	-71.629054788	426.0	
T	-33.089386172	-71.628431667	432.4	
T	-33.089386172	-71.627808546	429.7	
T	-33.089386172	-71.627185424	420.2	
T	-33.089386172	-71.626562303	405.7	
T	-33.089386172	-71.625939182	390.6	
T	-33.089386172	-71.625316061	387.2	
T	-33.089386172	-71.624692939	388.4	
T	-33.089386172	-71.624069818	392.9	
T	-33.089386172	-71.623446697	402.7	
T	-33.089386172	-71.622823576	415.8	
T	-33.089386172	-71.622200455	426.8	
T	-33.089386172	-71.621577333	433.9	
T	-33.089386172	-71.620954212	436.9	
T	-33.089386172	-71.620331091	444.8	
T	-33.089386172	-71.619707970	457.0	
T	-33.089386172	-71.619084848	471.4	
T	-33.089386172	-71.618461727	476.8	
T	-33.089386172	-71.617838606	480.3	
T	-33.089386172	-71.617215485	481.9	
T	-33.089386172	-71.616592364	482.5	
T	-33.089386172	-71.615969242	485.9	
T	-33.089386172	-71.615346121	487.5	
T	-33.089386172	-71.614723000	485.8	
T	-33.089386172	-71.614099879	481.6	
T	-33.089386172	-71.613476758	486.2	
T	-33.089386172	-71.612853636	488.9	
T	-33.089386172	-71.612230515	489.0	
T	-33.089386172	-71.611607394	486.4	
T	-33.089386172	-71.610984273	482.6	
T	-33.089386172	-71.610361152	482.6	
T	-33.089386172	-71.609738030	483.9	
T	-33.089386172	-71.609114909	484.5	
T	-33.089386172	-71.608491788	480.0	
T	-33.089386172	-71.607868667	472.9	
T	-33.089386172	-71.607245546	466.4	
T	-33.089386172	-71.606622424	462.1	
T	-33.089386172	-71.605999303	459.0	
T	-33.089386172	-71.605376182	453.9	
T	-33.089386172	-71.604753061	449.1	
T	-33.089386172	-71.604129939	445.8	
T	-33.089386172	-71.603506818	443.0	
T	-33.089386172	-71.602883697	435.6	
T	-33.089386172	-71.602260576	424.0	
T	-33.089386172	-71.601637454	409.2	
T	-33.089386172	-71.601014333	405.0	
T	-33.089386172	-71.600391212	412.6	
T	-33.089386172	-71.599768091	424.9	
T	-33.089386172	-71.599144970	436.4	
T	-33.089386172	-71.598521848	438.0	
T	-33.089386172	-71.597898727	434.5	
T	-33.089386172	-71.597275606	429.5	
T	-33.089386172	-71.596652485	426.2	
T	-33.089386172	-71.596029364	428.7	
T	-33.089386172	-71.595406242	430.4	
T	-33.089386172	-71.594783121	428.8	
T	-33.089386172	-71.594160000	421.4	
T	-33.089924758	-71.655849000	230.7	
T	-33.089924758	-71.655225879	234.6	
T	-33.089924758	-71.654602758	237.6	
T	-33.089924758	-71.653979636	240.6	
T	-33.089924758	-71.653356515	245.4	
T	-33.089924758	-71.652733394	245.2	
T	-33.089924758	-71.652110273	246.7	
T	-33.089924758	-71.651487152	251.0	
T	-33.089924758	-71.650864030	259.5	
T	-33.089924758	-71.650240909	270.3	
T	-33.089924758	-71.649617788	285.8	
T	-33.089924758	-71.648994667	303.9	
T	-33.089924758	-71.648371545	321.5	
T	-33.089924758	-71.647748424	329.3	
T	-33.089924758	-71.647125303	337.7	
T	-33.089924758	-71.646502182	346.2	
T	-33.089924758	-71.645879061	352.5	
T	-33.089924758	-71.645255939	350.2	
T	-33.089924758	-71.644632818	349.3	
T	-33.089924758	-71.644009697	350.5	
T	-33.089924758	-71.643386576	353.0	
T	-33.089924758	-71.642763454	357.5	
T	-33.089924758	-71.642140333	361.3	
T	-33.089924758	-71.641517212	363.0	
T	-33.089924758	-71.640894091	359.7	
T	-33.089924758	-71.640270970	350.3	
T	-33.089924758	-71.639647849	346.7	
T	-33.089924758	-71.639024727	349.0	
T	-33.089924758	-71.638401606	354.2	
T	-33.089924758	-71.637778485	359.3	
T	-33.089924758	-71.637155364	359.9	
T	-33.089924758	-71.636532242	355.2	
T	-33.089924758	-71.635909121	344.4	
T	-33.089924758	-71.635286000	351.9	
T	-33.089924758	-71.634662879	368.4	
T	-33.089924758	-71.634039758	387.3	
T	-33.089924758	-71.633416636	393.9	
T	-33.089924758	-71.632793515	389.3	
T	-33.089924758	-71.632170394	385.7	
T	-33.089924758	-71.631547273	385.8	
T	-33.089924758	-71.630924151	391.2	
T	-33.089924758	-71.630301030	403.6	
T	-33.089924758	-71.629677909	413.9	
T	-33.089924758	-71.629054788	420.7	
T	-33.089924758	-71.628431667	426.1	
T	-33.089924758	-71.627808546	418.7	
T	-33.089924758	-71.627185424	406.4	
T	-33.089924758	-71.626562303	391.7	
T	-33.089924758	-71.625939182	378.0	
T	-33.089924758	-71.625316061	380.5	
T	-33.089924758	-71.624692939	389.5	
T	-33.089924758	-71.624069818	401.3	
T	-33.089924758	-71.623446697	411.1	
T	-33.089924758	-71.622823576	417.4	
T	-33.089924758	-71.622200455	425.6	
T	-33.089924758	-71.621577333	436.0	
T	-33.089924758	-71.620954212	444.2	
T	-33.089924758	-71.620331091	450.4	
T	-33.089924758	-71.619707970	458.4	
T	-33.089924758	-71.619084848	468.2	
T	-33.089924758	-71.618461727	474.1	
T	-33.089924758	-71.617838606	474.6	
T	-33.089924758	-71.617215485	474.4	
T	-33.089924758	-71.616592364	475.7	
T	-33.089924758	-71.615969242	482.1	
T	-33.089924758	-71.615346121	482.0	
T	-33.089924758	-71.614723000	478.7	
T	-33.089924758	-71.614099879	474.9	
T	-33.089924758	-71.613476758	483.3	
T	-33.089924758	-71.612853636	484.0	
T	-33.089924758	-71.612230515	480.9	
T	-33.089924758	-71.611607394	476.4	
T	-33.089924758	-71.610984273	475.9	
T	-33.089924758	-71.610361152	477.9	
T	-33.089924758	-71.609738030	479.6	
T	-33.089924758	-71.609114909	479.4	
T	-33.089924758	-71.608491788	474.9	
T	-33.089924758	-71.607868667	468.1	
T	-33.089924758	-71.607245546	461.3	
T	-33.089924758	-71.606622424	455.8	
T	-33.089924758	-71.605999303	454.1	
T	-33.089924758	-71.605376182	449.7	
T	-33.089924758	-71.604753061	445.6	
T	-33.089924758	-71.604129939	443.3	
T	-33.089924758	-71.603506818	443.0	
T	-33.089924758	-71.602883697	433.1	
T	-33.089924758	-71.602260576	419.2	
T	-33.089924758	-71.601637454	405.9	
T	-33.089924758	-71.601014333	413.2	
T	-33.089924758	-71.600391212	425.3	
T	-33.089924758	-71.599768091	436.4	
T	-33.089924758	-71.599144970	442.1	
T	-33.089924758	-71.598521848	440.4	
T	-33.089924758	-71.597898727	436.1	
T	-33.089924758	-71.597275606	433.0	
T	-33.089924758	-71.596652485	434.0	
T	-33.089924758	-71.596029364	436.9	
T	-33.089924758	-71.595406242	437.5	
T	-33.089924758	-71.594783121	433.4	
T	-33.089924758	-71.594160000	422.7	
T	-33.090463343	-71.655849000	228.3	
T	-33.090463343	-71.655225879	234.4	
T	-33.090463343	-71.654602758	237.6	
T	-33.090463343	-71.653979636	239.9	
T	-33.090463343	-71.653356515	244.0	
T	-33.090463343	-71.652733394	247.3	
T	-33.090463343	-71.652110273	253.3	
T	-33.090463343	-71.651487152	262.4	
T	-33.090463343	-71.650864030	275.5	
T	-33.090463343	-71.650240909	283.5	
T	-33.090463343	-71.649617788	294.5	
T	-33.090463343	-71.648994667	309.0	
T	-33.090463343	-71.648371545	327.3	
T	-33.090463343	-71.647748424	337.0	
T	-33.090463343	-71.647125303	346.6	
T	-33.090463343	-71.646502182	355.6	
T	-33.090463343	-71.645879061	362.3	
T	-33.090463343	-71.645255939	363.1	
T	-33.090463343	-71.644632818	363.7	
T	-33.090463343	-71.644009697	364.3	
T	-33.090463343	-71.643386576	364.4	
T	-33.090463343	-71.642763454	363.3	
T	-33.090463343	-71.642140333	362.1	
T	-33.090463343	-71.641517212	360.2	
T	-33.090463343	-71.640894091	356.1	
T	-33.090463343	-71.640270970	345.5	
T	-33.090463343	-71.639647849	343.7	
T	-33.090463343	-71.639024727	348.4	
T	-33.090463343	-71.638401606	350.3	
T	-33.090463343	-71.637778485	348.3	
T	-33.090463343	-71.637155364	344.8	
T	-33.090463343	-71.636532242	341.6	
T	-33.090463343	-71.635909121	342.0	
T	-33.090463343	-71.635286000	354.4	
T	-33.090463343	-71.634662879	368.1	
T	-33.090463343	-71.634039758	378.7	
T	-33.090463343	-71.633416636	379.0	
T	-33.090463343	-71.632793515	375.4	
T	-33.090463343	-71.632170394	376.1	
T	-33.090463343	-71.631547273	381.9	
T	-33.090463343	-71.630924151	390.8	
T	-33.090463343	-71.630301030	398.9	
T	-33.090463343	-71.629677909	405.2	
T	-33.090463343	-71.629054788	409.9	
T	-33.090463343	-71.628431667	414.7	
T	-33.090463343	-71.627808546	403.8	
T	-33.090463343	-71.627185424	389.4	
T	-33.090463343	-71.626562303	376.3	
T	-33.090463343	-71.625939182	372.0	
T	-33.090463343	-71.625316061	381.3	
T	-33.090463343	-71.624692939	391.2	
T	-33.090463343	-71.624069818	398.5	
T	-33.090463343	-71.623446697	404.1	
T	-33.090463343	-71.622823576	412.5	
T	-33.090463343	-71.622200455	424.6	
T	-33.090463343	-71.621577333	439.1	
T	-33.090463343	-71.620954212	448.5	
T	-33.090463343	-71.620331091	455.2	
T	-33.090463343	-71.619707970	461.4	
T	-33.090463343	-71.619084848	467.3	
T	-33.090463343	-71.618461727	470.0	
T	-33.090463343	-71.617838606	467.1	
T	-33.090463343	-71.617215485	465.9	
T	-33.090463343	-71.616592364	469.3	
T	-33.090463343	-71.615969242	476.4	
T	-33.090463343	-71.615346121	475.6	
T	-33.090463343	-71.614723000	473.2	
T	-33.090463343	-71.614099879	472.9	
T	-33.090463343	-71.613476758	481.8	
T	-33.090463343	-71.612853636	479.0	
T	-33.090463343	-71.612230515	472.9	
T	-33.090463343	-71.611607394	468.1	
T	-33.090463343	-71.610984273	471.4	
T	-33.090463343	-71.610361152	473.9	
T	-33.090463343	-71.609738030	474.9	
T	-33.090463343	-71.609114909	474.2	
T	-33.090463343	-71.608491788	470.6	
T	-33.090463343	-71.607868667	465.0	
T	-33.090463343	-71.607245546	458.6	
T	-33.090463343	-71.606622424	452.0	
T	-33.090463343	-71.605999303	449.3	
T	-33.090463343	-71.605376182	445.0	
T	-33.090463343	-71.604753061	441.4	
T	-33.090463343	-71.604129939	439.5	
T	-33.090463343	-71.603506818	436.6	
T	-33.090463343	-71.602883697	427.6	
T	-33.090463343	-71.602260576	416.5	
T	-33.090463343	-71.601637454	406.6	
T	-33.090463343	-71.601014333	418.1	
T	-33.090463343	-71.600391212	430.1	
T	-33.090463343	-71.599768091	439.6	
T	-33.090463343	-71.599144970	444.6	
T	-33.090463343	-71.598521848	442.3	
T	-33.090463343	-71.597898727	439.2	
T	-33.090463343	-71.597275606	437.6	
T	-33.090463343	-71.596652485	439.5	
T	-33.090463343	-71.596029364	441.2	
T	-33.090463343	-71.595406242	440.1	
T	-33.090463343	-71.594783121	435.4	
T	-33.090463343	-71.594160000	426.3	
T	-33.091001929	-71.655849000	229.0	
T	-33.091001929	-71.655225879	236.2	
T	-33.091001929	-71.654602758	240.5	
T	-33.091001929	-71.653979636	243.7	
T	-33.091001929	-71.653356515	247.9	
T	-33.091001929	-71.652733394	254.1	
T	-33.091001929	-71.652110273	263.5	
T	-33.091001929	-71.651487152	276.0	
T	-33.091001929	-71.650864030	291.1	
T	-33.091001929	-71.650240909	296.5	
T	-33.091001929	-71.649617788	303.4	
T	-33.091001929	-71.648994667	313.9	
T	-33.091001929	-71.648371545	331.0	
T	-33.091001929	-71.647748424	341.8	
T	-33.091001929	-71.647125303	352.1	
T	-33.091001929	-71.646502182	361.4	
T	-33.091001929	-71.645879061	368.1	
T	-33.091001929	-71.645255939	371.8	
T	-33.091001929	-71.644632818	374.1	
T	-33.091001929	-71.644009697	374.8	
T	-33.091001929	-71.643386576	373.0	
T	-33.091001929	-71.642763454	366.9	
T	-33.091001929	-71.642140333	361.3	
T	-33.091001929	-71.641517212	356.6	
T	-33.091001929	-71.640894091	352.6	
T	-33.091001929	-71.640270970	341.3	
T	-33.091001929	-71.639647849	340.0	
T	-33.091001929	-71.639024727	345.1	
T	-33.091001929	-71.638401606	343.2	
T	-33.091001929	-71.637778485	335.6	
T	-33.091001929	-71.637155364	330.6	
T	-33.091001929	-71.636532242	330.9	
T	-33.091001929	-71.635909121	340.8	
T	-33.091001929	-71.635286000	353.9	
T	-33.091001929	-71.634662879	363.1	
T	-33.091001929	-71.634039758	367.0	
T	-33.091001929	-71.633416636	365.4	
T	-33.091001929	-71.632793515	366.1	
T	-33.091001929	-71.632170394	370.9	
T	-33.091001929	-71.631547273	379.2	
T	-33.091001929	-71.630924151	388.6	
T	-33.091001929	-71.630301030	393.4	
T	-33.091001929	-71.629677909	397.2	
T	-33.091001929	-71.629054788	400.7	
T	-33.091001929	-71.628431667	403.3	
T	-33.091001929	-71.627808546	389.3	
T	-33.091001929	-71.627185424	373.5	
T	-33.091001929	-71.626562303	362.4	
T	-33.091001929	-71.625939182	367.7	
T	-33.091001929	-71.625316061	380.4	
T	-33.091001929	-71.624692939	389.2	
T	-33.091001929	-71.624069818	392.7	
T	-33.091001929	-71.623446697	397.7	
T	-33.091001929	-71.622823576	411.0	
T	-33.091001929	-71.622200455	427.2	
T	-33.091001929	-71.621577333	443.4	
T	-33.091001929	-71.620954212	451.3	
T	-33.091001929	-71.620331091	457.5	
T	-33.091001929	-71.619707970	462.4	
T	-33.091001929	-71.619084848	465.7	
T	-33.091001929	-71.618461727	465.1	
T	-33.091001929	-71.617838606	460.0	
T	-33.091001929	-71.617215485	459.1	
T	-33.091001929	-71.616592364	464.8	
T	-33.091001929	-71.615969242	471.2	
T	-33.091001929	-71.615346121	469.4	
T	-33.091001929	-71.614723000	468.4	
T	-33.091001929	-71.614099879	471.6	
T	-33.091001929	-71.613476758	479.1	
T	-33.091001929	-71.612853636	472.8	
T	-33.091001929	-71.612230515	465.2	
T	-33.091001929	-71.611607394	461.9	
T	-33.091001929	-71.610984273	467.8	
T	-33.091001929	-71.610361152	470.3	
T	-33.091001929	-71.609738030	470.6	
T	-33.091001929	-71.609114909	469.2	
T	-33.091001929	-71.608491788	466.6	
T	-33.091001929	-71.607868667	461.5	
T	-33.091001929	-71.607245546	455.2	
T	-33.091001929	-71.606622424	448.8	
T	-33.091001929	-71.605999303	445.6	
T	-33.091001929	-71.605376182	441.5	
T	-33.091001929	-71.604753061	438.1	
T	-33.091001929	-71.604129939	436.3	
T	-33.091001929	-71.603506818	431.4	
T	-33.091001929	-71.602883697	423.3	
T	-33.091001929	-71.602260576	414.7	
T	-33.091001929	-71.601637454	408.0	
T	-33.091001929	-71.601014333	421.5	
T	-33.091001929	-71.600391212	433.3	
T	-33.091001929	-71.599768091	442.0	
T	-33.091001929	-71.599144970	446.5	
T	-33.091001929	-71.598521848	444.6	
T	-33.091001929	-71.597898727	442.6	
T	-33.091001929	-71.597275606	441.9	
T	-33.091001929	-71.596652485	443.8	
T	-33.091001929	-71.596029364	444.0	
T	-33.091001929	-71.595406242	440.9	
T	-33.091001929	-71.594783121	435.7	
T	-33.091001929	-71.594160000	429.2	
T	-33.091540515	-71.655849000	232.9	
T	-33.091540515	-71.655225879	239.1	
T	-33.091540515	-71.654602758	245.6	
T	-33.091540515	-71.653979636	251.9	
T	-33.091540515	-71.653356515	257.5	
T	-33.091540515	-71.652733394	264.7	
T	-33.091540515	-71.652110273	274.8	
T	-33.091540515	-71.651487152	287.1	
T	-33.091540515	-71.650864030	300.2	
T	-33.091540515	-71.650240909	307.0	
T	-33.091540515	-71.649617788	312.6	
T	-33.091540515	-71.648994667	319.6	
T	-33.091540515	-71.648371545	331.3	
T	-33.091540515	-71.647748424	341.8	
T	-33.091540515	-71.647125303	351.5	
T	-33.091540515	-71.646502182	360.1	
T	-33.091540515	-71.645879061	366.8	
T	-33.091540515	-71.645255939	371.8	
T	-33.091540515	-71.644632818	376.2	
T	-33.091540515	-71.644009697	378.4	
T	-33.091540515	-71.643386576	375.6	
T	-33.091540515	-71.642763454	366.0	
T	-33.091540515	-71.642140333	357.9	
T	-33.091540515	-71.641517212	352.4	
T	-33.091540515	-71.640894091	349.9	
T	-33.091540515	-71.640270970	338.2	
T	-33.091540515	-71.639647849	334.9	
T	-33.091540515	-71.639024727	336.5	
T	-33.091540515	-71.638401606	330.7	
T	-33.091540515	-71.637778485	322.7	
T	-33.091540515	-71.637155364	321.5	
T	-33.091540515	-71.636532242	327.7	
T	-33.091540515	-71.635909121	340.4	
T	-33.091540515	-71.635286000	345.9	
T	-33.091540515	-71.634662879	349.7	
T	-33.091540515	-71.634039758	353.5	
T	-33.091540515	-71.633416636	358.7	
T	-33.091540515	-71.632793515	367.4	
T	-33.091540515	-71.632170394	373.2	
T	-33.091540515	-71.631547273	376.1	
T	-33.091540515	-71.630924151	379.7	
T	-33.091540515	-71.630301030	386.6	
T	-33.091540515	-71.629677909	393.1	
T	-33.091540515	-71.629054788	397.0	
T	-33.091540515	-71.628431667	393.9	
T	-33.091540515	-71.627808546	376.9	
T	-33.091540515	-71.627185424	360.9	
T	-33.091540515	-71.626562303	352.7	
T	-33.091540515	-71.625939182	365.2	
T	-33.091540515	-71.625316061	373.1	
T	-33.091540515	-71.624692939	378.7	
T	-33.091540515	-71.624069818	384.4	
T	-33.091540515	-71.623446697	398.1	
T	-33.091540515	-71.622823576	419.3	
T	-33.091540515	-71.622200455	437.7	
T	-33.091540515	-71.621577333	449.6	
T	-33.091540515	-71.620954212	451.7	
T	-33.091540515	-71.620331091	454.5	
T	-33.091540515	-71.619707970	458.1	
T	-33.091540515	-71.619084848	461.6	
T	-33.091540515	-71.618461727	459.0	
T	-33.091540515	-71.617838606	454.7	
T	-33.091540515	-71.617215485	456.1	
T	-33.091540515	-71.616592364	464.4	
T	-33.091540515	-71.615969242	467.4	
